"","data.position","position","count"
"1","C","DI",9
"2","C","G",53
"3","C","T",4
"4","CB","HB",11
"5","CB","LB",9
"6","CB","S",114
"7","CB","ST",1
"8","CB","T",1
"9","CB","WR",31
"10","DI","C",12
"11","DI","CB",1
"12","DI","ED",19
"13","DI","G",24
"14","DI","LB",1
"15","DI","S",1
"16","DI","T",12
"17","ED","C",3
"18","ED","DI",443
"19","ED","G",15
"20","ED","HB",1
"21","ED","LB",20
"22","ED","T",26
"23","ED","TE",17
"24","G","C",120
"25","G","CB",1
"26","G","DI",36
"27","G","T",79
"28","G","TE",1
"29","HB","CB",24
"30","HB","ED",3
"31","HB","LB",16
"32","HB","S",10
"33","HB","ST",1
"34","HB","WR",39
"35","LB","CB",8
"36","LB","DI",35
"37","LB","ED",273
"38","LB","G",1
"39","LB","HB",11
"40","LB","QB",1
"41","LB","S",13
"42","LB","T",2
"43","LB","TE",10
"44","LB","WR",1
"45","QB","CB",2
"46","QB","ED",1
"47","QB","HB",6
"48","QB","LB",9
"49","QB","S",5
"50","QB","TE",16
"51","QB","WR",21
"52","S","CB",180
"53","S","ED",16
"54","S","HB",10
"55","S","LB",108
"56","S","ST",1
"57","S","TE",2
"58","S","WR",21
"59","T","C",68
"60","T","DI",18
"61","T","ED",1
"62","T","G",348
"63","T","TE",12
"64","TE","C",7
"65","TE","DI",29
"66","TE","ED",27
"67","TE","G",3
"68","TE","HB",1
"69","TE","LB",2
"70","TE","ST",1
"71","TE","T",20
"72","TE","WR",6
"73","WR","CB",245
"74","WR","DI",3
"75","WR","ED",33
"76","WR","G",1
"77","WR","HB",116
"78","WR","LB",78
"79","WR","QB",29
"80","WR","S",132
"81","WR","ST",2
"82","WR","T",4
"83","WR","TE",81
